Epic Name,Issue Type,Summary,Description,Story Points,Priority,Labels,Components,Sprint Target
EXEQ-FISC-E00,Spike,EXEQ-FISC-001 Credenciais Loja SERPRO e ambiente demo,"Obter contrato Loja SERPRO consumer key/secret demo CNPJ contratante. Documentar docs/SERPRO_CREDENCIAIS_HOMOLOG.md. Chamada swagger demo OK. PO confirma modelo comercial.",3,Highest,"fase-1-mvp serpro blocker-externo","pm architecture",S0
EXEQ-FISC-E00,Story,EXEQ-FISC-002 Layout CSV PGDASD MVP especificacao contabil,"Template CSV v1 mapeamento CanonicalApuracao docs/templates/pgdasd-import-v1.csv validacao contabil assinada PO.",5,Highest,"fase-1-mvp pgdasd blocker-externo","architecture pm",S0
EXEQ-FISC-E00,Story,EXEQ-FISC-003 Wireframes UX fluxo CSV para DAS,"Wireframes Dashboard Upload Stepper Historico Central Erros mobile desktop aprovacao PO.",8,High,"fase-1-mvp mobile-first",ux-ui,S0
EXEQ-FISC-E00,Task,EXEQ-FISC-004 ADR Arquitetura SERPRO MVP,"Publicar docs/ADR_SERPRO_FISCAL_MVP.md adapter filas org vault feature flags revisao tech lead.",3,High,fase-1-mvp,architecture,S0
EXEQ-FISC-E01,Story,EXEQ-FISC-010 Migration portal.organization backfill,"032_organization.sql backfill escritorios teste cross-org. Tabelas organization organization_membership.",8,High,"fase-1-mvp new","database backend",S1
EXEQ-FISC-E01,Story,EXEQ-FISC-011 API gestao organizacao EXEQ console,"GET POST PATCH organizations tipos exeq escritorio bpo console EXEQ OpenAPI.",5,High,"fase-1-mvp reuse","backend frontend",S1
EXEQ-FISC-E01,Story,EXEQ-FISC-012 Configuracao SERPRO por organizacao,"fiscal.serpro_config credenciais cifradas API serpro-config feature flag FISCAL_SERPRO_ENABLED admin only.",8,Highest,"fase-1-mvp serpro security","backend database",S1
EXEQ-FISC-E02,Story,EXEQ-FISC-020 Migration fiscal.certificate_vault,"033_certificate_vault.sql owner_type indices validade status.",5,High,"fase-1-mvp security",database,S2
EXEQ-FISC-E02,Story,EXEQ-FISC-021 Migrar certificados existentes para vault,"Script idempotente APIs vault_id deprecated certificado_digital testes PEM regressao.",5,High,"refactor security","backend database",S2
EXEQ-FISC-E02,Story,EXEQ-FISC-022 Alertas expiracao certificado 30 15 7 dias,"Job diario status expiring audit certificado_expirando.",3,Medium,fase-1-mvp,backend,S2
EXEQ-FISC-E02,Story,EXEQ-FISC-023 Procuracao consulta SERPRO OBTERPROCURACAO41,"POST procuracoes/validar-serpro situacao valida expirada bloqueio transmissao mensagem suporte.",8,High,"serpro reuse",backend,S2
EXEQ-FISC-E03,Story,EXEQ-FISC-030 Modelo canonico CanonicalApuracao Zod,"Schema fiscal-ingestion testes 90porcento regras SN mapeamento CSV documentado.",5,Highest,"pgdasd new",backend,S3
EXEQ-FISC-E03,Story,EXEQ-FISC-031 CsvIngestionAdapter parser,"Interface IngestionAdapter parser UTF-8 erros linha a linha.",8,High,fase-1-mvp,backend,S3
EXEQ-FISC-E03,Story,EXEQ-FISC-032 API upload CSV validacao assincrona,"POST ingest/csv fila fiscal-ingest-validate GET status relatorio erros.",8,High,fase-1-mvp,backend,S3
EXEQ-FISC-E03,Task,EXEQ-FISC-033 Stub adapters Excel API ERP futuro,"Interfaces documentadas not_implemented ADR Fase 2.",2,Low,fase-1-mvp,architecture,S3
EXEQ-FISC-E04,Story,EXEQ-FISC-040 Modulo serpro-integra-contador client HTTP,"OAuth Redis mTLS vault error mapper paths Apoiar Consultar Declarar Emitir spike CONSULTIMADECREC14 demo.",13,Highest,"serpro new",backend,S4
EXEQ-FISC-E04,Story,EXEQ-FISC-041 SerproFiscalGateway factory provider,"RECEITA_GATEWAY_PROVIDER serpro exeq mock testes mapper ReceitaCaptureResult.",5,High,"serpro reuse",backend,S4
EXEQ-FISC-E05,Story,EXEQ-FISC-050 Migration processamento_fiscal eventos,"034_processamento_fiscal.sql status machine processamento_evento timeline.",5,High,fase-1-mvp,database,S5
EXEQ-FISC-E05,Story,EXEQ-FISC-051 Worker fiscal-serpro-transmit TRANSDECLARACAO11,"Fila BullMQ idempotency protocolo pre-checks cert procuracao nunca sync portal SERPRO.",13,Highest,"pgdasd serpro",backend,S5
EXEQ-FISC-E05,Story,EXEQ-FISC-052 API processamentos fiscal CRUD timeline,"POST GET list GET detail timeline eventos RBAC operador admin.",8,High,fase-1-mvp,backend,S5
EXEQ-FISC-E05,Task,EXEQ-FISC-053 Audit trail apuracao SERPRO,"fiscal.audit_log apuracao_iniciada transmitida erro_serpro correlation_id.",3,Medium,reuse,backend,S5
EXEQ-FISC-E06,Story,EXEQ-FISC-060 Worker recibo CONSDECREC15,"Job pos TRANSMITIDA PDF recibo storage RECIBO_OK ou ERRO.",8,High,"serpro pgdasd",backend,S6
EXEQ-FISC-E06,Story,EXEQ-FISC-061 Worker emissao DAS GERARDAS12,"Fila fiscal-serpro-emit-das guia_fiscal PDF valores CONCLUIDO notificacao WhatsApp opcional.",13,Highest,"serpro reuse",backend,S7
EXEQ-FISC-E06,Task,EXEQ-FISC-062 Download DAS recibo presigned URLs,"GET recibo/url reuse guia pdf url audit download.",3,High,reuse,backend,S7
EXEQ-FISC-E07,Story,EXEQ-FISC-070 Design system fiscal shell mobile-first,"Sidebar drawer mobile tokens CSS cards AppShell refatorado.",13,High,"mobile-first refactor","ux-ui frontend",S8
EXEQ-FISC-E07,Story,EXEQ-FISC-071 Tela Dashboard Operacional Fiscal,"KPIs processamentos erros certs expirando mobile cards link upload.",8,High,fase-1-mvp,frontend,S8
EXEQ-FISC-E07,Story,EXEQ-FISC-072 Tela Upload CSV relatorio validacao,"Drag-drop progresso erros linha botao iniciar transmissao se VALIDADO.",8,High,fase-1-mvp,frontend,S8
EXEQ-FISC-E07,Story,EXEQ-FISC-073 Stepper transmissao tempo real,"Steps Validado Transmitindo Recibo DAS Concluido polling linguagem simples mobile vertical.",8,High,fase-1-mvp,frontend,S8
